GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hrms-sqlite,hrms.view,CommandLineUI,1245,0,55,0,305,0,57,0,22,0
hrms-sqlite,hrms.controller,LeaveController,49,0,0,0,13,0,8,0,8,0
hrms-sqlite,hrms.controller,EmployeeController,39,37,0,0,12,9,7,5,7,5
hrms-sqlite,hrms.controller,AuthController,0,26,0,0,0,6,0,4,0,4
hrms-sqlite,hrms.service,EmployeeService,36,150,1,9,10,41,4,14,3,10
hrms-sqlite,hrms.service,AuthService,5,69,1,9,1,17,1,8,0,4
hrms-sqlite,hrms.service,DepartmentService,5,60,1,5,1,16,1,7,0,5
hrms-sqlite,hrms.service,LeaveService,52,217,14,24,10,56,15,12,1,7
hrms-sqlite,hrms.db,DatabaseConnection,3,3,0,0,1,1,1,1,1,1
hrms-sqlite,hrms.db,DatabaseInitializer,12,23,0,0,3,8,1,1,1,1
hrms-sqlite,hrms.repository,LeaveRepository,75,237,3,5,19,65,4,7,1,6
hrms-sqlite,hrms.repository,DepartmentRepository,45,151,2,6,9,46,2,8,0,6
hrms-sqlite,hrms.repository,UserRepository,104,106,4,4,28,30,5,5,2,4
hrms-sqlite,hrms.repository,EmployeeRepository,54,328,2,6,11,92,2,9,0,7
hrms-sqlite,hrms.model,Role,0,27,0,0,0,5,0,1,0,1
hrms-sqlite,hrms.model,UserAccount,0,27,0,0,0,10,0,5,0,5
hrms-sqlite,hrms.model,Employee,0,184,5,25,0,58,5,29,0,19
hrms-sqlite,hrms.model,Department,0,59,3,9,0,18,3,9,0,6
hrms-sqlite,hrms.model,LeaveRequest,0,65,0,0,0,24,0,12,0,12
hrms-sqlite,hrms.model,LeaveType,0,27,0,0,0,5,0,1,0,1
hrms-sqlite,hrms.model,EmploymentStatus,0,27,0,0,0,5,0,1,0,1
hrms-sqlite,hrms.model,LeaveStatus,0,27,0,0,0,5,0,1,0,1
hrms-sqlite,hrms.app,Main,198,0,0,0,50,0,3,0,3,0
